L,l,Delta,Rho,Kappa
5,1,0.350000,0.781905,0.273667
5,1,0.360000,0.773148,0.278333
5,1,0.370000,0.790991,0.292667
5,1,0.380000,0.812281,0.308667
5,1,0.390000,0.835043,0.325667
5,1,0.400000,0.841667,0.336667
5,1,0.410000,0.860976,0.353000
5,1,0.420000,0.897619,0.377000
5,1,0.430000,0.897674,0.386000
5,1,0.440000,0.906061,0.398667
5,1,0.450000,0.915556,0.412000
5,1,0.460000,0.941304,0.433000
5,1,0.470000,0.974468,0.458000
5,1,0.480000,1.000694,0.480333
5,1,0.490000,1.034694,0.507000
5,1,0.500000,1.037333,0.518667
5,1,0.510000,1.070588,0.546000
5,1,0.520000,1.107693,0.576000
5,1,0.530000,1.122018,0.594669
5,1,0.540000,1.148789,0.620346
5,1,0.550000,1.214636,0.668050
5,1,0.560000,1.213704,0.679674
5,1,0.570000,1.274228,0.726310
5,1,0.580000,1.277620,0.741020
5,1,0.590000,1.307831,0.771620
5,1,0.600000,1.331842,0.799105
5,1,0.610000,1.370455,0.835978
5,1,0.620000,1.410225,0.874340
5,1,0.630000,1.500122,0.945077
5,1,0.640000,1.473831,0.943252
5,2,0.020000,0.477878,0.009558
5,2,0.030000,0.170268,0.005108
5,2,0.040000,0.253773,0.010151
5,2,0.050000,0.304302,0.015215
5,2,0.060000,0.293716,0.017623
5,2,0.070000,0.350512,0.024536
5,2,0.080000,0.463353,0.037068
5,2,0.090000,0.458469,0.041262
5,2,0.100000,0.572124,0.057212
5,2,0.110000,0.572949,0.063024
5,2,0.120000,0.616198,0.073944
5,2,0.130000,0.635767,0.082650
5,2,0.140000,0.702336,0.098327
5,2,0.150000,0.686525,0.102979
5,2,0.160000,0.764575,0.122332
5,2,0.170000,0.758792,0.128995
5,2,0.180000,0.777738,0.139993
5,2,0.190000,0.828064,0.157332
5,2,0.200000,0.848331,0.169666
5,2,0.210000,0.858729,0.180333
5,2,0.220000,0.880303,0.193667
5,2,0.230000,0.882609,0.203000
5,2,0.240000,0.913889,0.219333
5,2,0.250000,0.930666,0.232667
5,2,0.260000,0.974359,0.253333
5,2,0.270000,0.964198,0.260333
5,2,0.280000,0.980952,0.274667
5,2,0.290000,1.021839,0.296333
5,2,0.300000,1.025556,0.307667
5,2,0.310000,1.037634,0.321667
5,2,0.320000,1.051042,0.336333
5,2,0.330000,1.076768,0.355333
5,2,0.340000,1.089216,0.370333
5,2,0.350000,1.105714,0.387000
5,2,0.360000,1.137037,0.409333
5,2,0.370000,1.160360,0.429333
5,2,0.380000,1.151754,0.437667
5,2,0.390000,1.173504,0.457667
5,2,0.400000,1.194167,0.477667
5,2,0.410000,1.212195,0.497000
5,2,0.420000,1.213492,0.509667
5,2,0.430000,1.243411,0.534667
5,2,0.440000,1.259848,0.554333
5,2,0.450000,1.271111,0.572000
5,2,0.460000,1.302174,0.599000
5,2,0.470000,1.304255,0.613000
5,2,0.480000,1.320139,0.633667
5,2,0.490000,1.343537,0.658333
5,2,0.500000,1.364001,0.682000
5,2,0.510000,1.376471,0.702000
5,2,0.520000,1.393598,0.724671
5,2,0.530000,1.409454,0.747011
5,2,0.540000,1.437688,0.776352
5,2,0.550000,1.446102,0.795356
5,2,0.560000,1.472104,0.824378
5,2,0.570000,1.493968,0.851562
5,2,0.580000,1.494412,0.866759
5,2,0.590000,1.520909,0.897336
5,2,0.600000,1.541963,0.925178
5,2,0.610000,1.563702,0.953858
5,2,0.620000,1.584027,0.982097
5,3,0.020000,0.448128,0.008963
5,3,0.030000,0.057658,0.001730
5,3,0.040000,0.269744,0.010790
5,3,0.050000,0.245767,0.012288
5,3,0.060000,0.428496,0.025710
5,3,0.070000,0.405462,0.028382
5,3,0.080000,0.546465,0.043717
5,3,0.090000,0.573410,0.051607
5,3,0.100000,0.595027,0.059503
5,3,0.110000,0.675368,0.074290
5,3,0.120000,0.716094,0.085931
5,3,0.130000,0.720247,0.093632
5,3,0.140000,0.802295,0.112321
5,3,0.150000,0.844410,0.126661
5,3,0.160000,0.847881,0.135661
5,3,0.170000,0.907838,0.154332
5,3,0.180000,0.899989,0.161998
5,3,0.190000,0.954385,0.181333
5,3,0.200000,0.971667,0.194333
