EPS,MSE,T
0.2495,0.467709086,0.549914627
0.25,0.468264762,0.548972992
0.2505,0.46881989,0.548031357
0.251,0.469374435,0.54756054
0.2515,0.469928402,0.546618905
0.252,0.470481827,0.545677271
0.2525,0.471034664,0.545206454
0.253,0.471586939,0.544264819
0.2535,0.472138678,0.543323184
0.254,0.472689817,0.542852367
0.2545,0.473240415,0.541910732
0.255,0.473790471,0.541439915
0.2555,0.474339935,0.54049828
0.256,0.474888873,0.539556646
0.2565,0.475437247,0.539085828
0.257,0.47598506,0.538144194
0.2575,0.476532354,0.537202559
0.258,0.477079055,0.536731742
0.2585,0.477625234,0.535790107
0.259,0.478170869,0.53531929
0.2595,0.478715938,0.534377655
0.26,0.479260498,0.533436021
0.2605,0.479804477,0.532965203
0.261,0.480347938,0.532023569
0.2615,0.48089086,0.531552751
0.262,0.481433228,0.530611117
0.2625,0.481975096,0.529669482
0.263,0.482516378,0.529198665
0.2635,0.483057163,0.52825703
0.264,0.483597398,0.527786213
0.2645,0.484137106,0.526844578
0.265,0.484676298,0.526373761
0.2655,0.485214935,0.525432126
0.266,0.485753085,0.524490492
0.2665,0.486290659,0.524019674
0.267,0.486827749,0.52307804
0.2675,0.487364289,0.522607222
0.268,0.487900323,0.521665588
0.2685,0.488435834,0.52119477
0.269,0.48897082,0.520253136
0.2695,0.489505304,0.519782318
0.27,0.490039247,0.518840684
0.2705,0.490572709,0.518369866
0.271,0.491105615,0.517428232
0.2715,0.491638056,0.516486597
0.272,0.492169934,0.51601578
0.2725,0.492701348,0.515074145
0.273,0.493232214,0.514603328
0.2735,0.493762606,0.513661693
0.274,0.494292463,0.513190876
0.2745,0.494821841,0.512249241
0.275,0.495350693,0.511778424
0.2755,0.495879062,0.510836789
0.276,0.496406913,0.510365972
0.2765,0.496934279,0.509424337
0.277,0.497461132,0.50895352
0.2775,0.497987501,0.508011885
0.278,0.498513361,0.507541068
0.2785,0.499038739,0.506599433
0.279,0.499563609,0.506128616
0.2795,0.500088002,0.505186982
0.28,0.500611886,0.504716164
0.2805,0.5011353,0.50377453
0.281,0.501658201,0.503303712
0.2815,0.502180642,0.502362078
0.282,0.502702564,0.50189126
0.2825,0.503224039,0.500949626
0.283,0.503744985,0.500478808
0.2835,0.504265498,0.500007991
0.284,0.504785474,0.499066356
0.2845,0.505305017,0.498595539
0.285,0.505824041,0.497653904
0.2855,0.506342617,0.497183087
0.286,0.506860694,0.496241453
0.2865,0.507378307,0.495770635
0.287,0.507895444,0.494829001
0.2875,0.508412098,0.494358183
0.288,0.508928301,0.493416549
0.2885,0.509443999,0.492945731
