n,L,Delta,Kappa
100,15,0.39,0.281667
100,15,0.4,0.295
100,15,0.41,0.31366700000000003
100,15,0.42,0.33266599999999996
100,15,0.43,0.35799699999999995
100,15,0.44,0.379996
100,15,0.45,0.40833
100,15,0.46,0.44332299999999997
100,15,0.47,0.466321
100,15,0.48,0.503666
100,15,0.49,0.537367
100,15,0.5,0.575851
100,15,0.51,0.610518
100,15,0.52,0.657276
100,15,0.53,0.699963
100,15,0.54,0.759694
100,15,0.55,0.809337
100,15,0.56,0.837131
100,15,0.57,0.8917
100,15,0.58,0.9258129999999999
100,15,0.59,0.9725969999999999
100,15,0.6,0.9924459999999999
100,15,0.61,1.062465
100,15,0.62,1.0724120000000001
100,15,0.63,1.1447379999999998
100,15,0.64,1.1559540000000001
100,15,0.65,1.227795
100,15,0.66,1.278869
100,15,0.67,1.267957
100,15,0.68,1.272908
100,15,0.69,-1344124422948638.5
100,15,0.7,-1344124422948638.5
100,15,0.71,-1344124422948638.5
100,15,0.72,-1344124422948638.5
100,15,0.73,-1344124422948638.5
100,15,0.74,-1344124422948638.5
100,15,0.75,-1344124422948638.5
100,15,0.76,-1344124422948638.5
100,15,0.77,-1344124422948638.5
100,15,0.78,-1344124422948638.5
100,15,0.79,-1344124422948638.5
100,15,0.8,-1344124422948638.5
100,15,0.81,-1344124422948638.5
100,15,0.82,-1344124422948638.5
100,15,0.83,-1344124422948638.5
100,15,0.84,-1344124422948638.5
100,15,0.85,-1344124422948638.5
