EPS	MSE
0.382	0.598633908
0.3825	0.599076823
0.383	0.599519421
0.3835	0.599961703
0.384	0.60040367
0.3845	0.600845321
0.385	0.601286658
0.3855	0.60172768
0.386	0.602168388
0.3865	0.602608784
0.387	0.603048853
0.3875	0.603488601
0.388	0.603928037
0.3885	0.604367163
0.389	0.604805978
0.3895	0.605244482
0.39	0.605682677
0.3905	0.606120563
0.391	0.606558141
0.3915	0.60699541
0.392	0.607432371
0.3925	0.607869026
0.393	0.608305373
0.3935	0.608741409
0.394	0.609177127
0.3945	0.60961254
0.395	0.610047648
0.3955	0.610482452
0.396	0.610916953
0.3965	0.611351151
0.397	0.611785046
0.3975	0.612218638
0.398	0.61265193
0.3985	0.61308492
0.399	0.613517609
0.3995	0.613949998
0.4	0.614382087
0.4005	0.614813877
0.401	0.615245369
0.4015	0.615676561
0.402	0.616107456
0.4025	0.616538054
0.403	0.616968345
0.4035	0.617398338
0.404	0.617828035
0.4045	0.618257437
0.405	0.618686545
0.4055	0.619115358
0.406	0.619543878
0.4065	0.619972104
0.407	0.620400038
0.4075	0.620827679
0.408	0.621255028
0.4085	0.621682086
0.409	0.622108853
0.4095	0.622535329
0.41	0.622961516
0.4105	0.623387413
0.411	0.623813021
0.4115	0.62423834
0.412	0.624663372
0.4125	0.625088115
0.413	0.625512572
0.4135	0.625936742
0.414	0.626360625
0.4145	0.626784223
0.415	0.627207536
0.4155	0.627630563
0.416	0.628053307
0.4165	0.628475766
0.417	0.628897942
0.4175	0.629319835
0.418	0.629741446
0.4185	0.630162775
0.419	0.630583822
0.4195	0.631004588
0.42	0.631425074
0.4205	0.631845279
0.421	0.632265205
0.4215	0.632684851
0.422	0.633104219
0.4225	0.633523309
0.423	0.633942121
0.4235	0.634360655
0.424	0.634778913
0.4245	0.635196894
0.425	0.635614599
0.4255	0.636032029
0.426	0.636449184
0.4265	0.636866064
0.427	0.637282671
0.4275	0.637699003
0.428	0.638115063
0.4285	0.63853085
0.429	0.638946364
0.4295	0.639361607
0.43	0.639776579
0.4305	0.64019128
0.431	0.64060571
0.4315	0.641019871
0.432	0.641433762
0.4325	0.641847385
0.433	0.642260739
0.4335	0.642673824
0.434	0.643086643
0.4345	0.643499194
0.435	0.643911479
0.4355	0.644323497
0.436	0.64473525
0.4365	0.645146737
0.437	0.64555796
0.4375	0.645968918
0.438	0.646379611
0.4385	0.64679003
0.439	0.647200187
0.4395	0.64761008
0.44	0.648019711
0.4405	0.64842908
0.441	0.648838188
0.4415	0.649247035
0.442	0.649655622
0.4425	0.650063948
0.443	0.650472015
0.4435	0.650879823
0.444	0.651287372
0.4445	0.651694663
0.445	0.652101696
0.4455	0.652508472
0.446	0.652914991
0.4465	0.653321254
0.447	0.653727262
0.4475	0.654133013
0.448	0.654538502
0.4485	0.654943727
0.449	0.655348696
0.4495	0.655753412
0.45	0.656157875
0.4505	0.656562085
0.451	0.656966042
0.4515	0.657369747
0.452	0.6577732
0.4525	0.658176403
0.453	0.658579354
0.4535	0.658982056
0.454	0.659384507
0.4545	0.65978671
0.455	0.660188663
0.4555	0.66059035
0.456	0.660991785
0.4565	0.661392972
0.457	0.661793911
0.4575	0.662194604
0.458	0.66259505
0.4585	0.66299525
0.459	0.663395205
0.4595	0.663794915
0.46	0.66419438
0.4605	0.664593601
0.461	0.664992578
0.4615	0.665391296
0.462	0.665789761
0.4625	0.666187984
0.463	0.666585964
0.4635	0.666983702
0.464	0.6673812
0.4645	0.667778456
0.465	0.668175472
0.4655	0.668572248
0.466	0.668968785
0.4665	0.669365082
0.467	0.669761117
0.4675	0.670156909
0.468	0.670552462
0.4685	0.670947778
0.469	0.671342857
0.4695	0.6717377
0.47	0.672132306
0.4705	0.672526676
0.471	0.672920812
0.4715	0.673314709
0.472	0.673708343
0.4725	0.674101743
0.473	0.674494909
0.4735	0.674887842
0.474	0.675280542
0.4745	0.67567301
0.475	0.676065245
0.4755	0.67645725
0.476	0.676849018
0.4765	0.677240526
0.477	0.677631803
0.4775	0.678022851
0.478	0.678413669
0.4785	0.678804257
0.479	0.679194617
0.4795	0.679584749
0.48	0.679974654
0.4805	0.680364302
0.481	0.680753715
0.4815	0.681142901
0.482	0.681531861
0.4825	0.681920594
0.483	0.682309103
0.4835	0.682697387
0.484	0.683085446
0.4845	0.683473247
0.485	0.683860819
0.4855	0.684248167
0.486	0.684635293
0.4865	0.685022196
0.487	0.685408876
0.4875	0.685795336
0.488	0.686181558
0.4885	0.686567534
0.489	0.686953289
0.4895	0.687338824
0.49	0.687724139
0.4905	0.688109235
0.491	0.688494112
0.4915	0.688878761
0.492	0.689263158
0.4925	0.689647337
0.493	0.690031299
0.4935	0.690415044
0.494	0.690798573
0.4945	0.691181885
0.495	0.691564966
0.4955	0.691947802
0.496	0.692330423
0.4965	0.69271283
0.497	0.693095023
0.4975	0.693477002
0.498	0.693858768
0.4985	0.694240284
0.499	0.694621577
0.4995	0.695002658
0.5	0.695383528
0.5005	0.695764186
0.501	0.696144633
0.5015	0.69652485
0.502	0.696904827
0.5025	0.697284595
0.503	0.697664153
0.5035	0.698043503
0.504	0.698422644
0.5045	0.698801565
0.505	0.699180239
0.5055	0.699558706
0.506	0.699936965
0.5065	0.700315018
0.507	0.700692866
0.5075	0.701070494
0.508	0.701447877
0.5085	0.701825056
0.509	0.702202029
0.5095	0.702578799
0.51	0.702955364
0.5105	0.703331704
0.511	0.703707808
0.5115	0.704083711
0.512	0.704459411
0.5125	0.704834909
0.513	0.705210205
0.5135	0.705585259
0.514	0.705960097
0.5145	0.706334736
0.515	0.706709175
0.5155	0.707083414
0.516	0.707457441
0.5165	0.707831224
0.517	0.70820481
0.5175	0.708578197
0.518	0.708951387
0.5185	0.709324379
0.519	0.709697126
0.5195	0.710069666
0.52	0.71044201
0.5205	0.710814158
0.521	0.711186111
